Offenlegungslauf,Datum des Exports,Datum,Akteur,Art des Akteurs,Kampagne,Kampagne für,Name,Vorname,kandidierende Gruppierung,Kanton,Parteizugehörigkeit (Mutterpartei),Offenlegungsmeldung,Gesamtbetrag der Einnahmen (in CHF),Einnahmen durch monetäre Zuwendungen (in CHF),Wert der Einnahmen durch nichtmonetäre Zuwendungen (in CHF),Einnahmen durch Veranstaltungen (in CHF),Einnahmen durch den Verkauf von Gütern und Dienstleistungen (in CHF),Monetäre Eigenmittel (in CHF)
Nationalratswahlen 2023,08.09.2023,22.10.2023,Die Mitte Kanton Zug,Juristische Person oder Personengesellschaft,"Hegglin Peter (Zug, Die Mitte), Pfister Gerhard (Zug, Die Mitte), Käch Manuela (Zug, Die Mitte), Rust Peter (Zug, Die Mitte), Barmet Monika (Zug, Die Mitte), Abramovic Ivan (Zug, Die Mitte), Battiston Gabriele (Zug, Die Mitte), Meierhans Lena (Zug, Die Mitte), Röösli Flavia (Zug, Die Mitte), Iten Patrick (Zug, Die Mitte), Wiederkehr Roger (Zug, Die Mitte), Kremmel Corina (Zug, Die Mitte), Ebneter Matthias (Zug, Die Mitte)",Gruppe von Kandidierenden (namentliche Auflistung),Wiederkehr,Roger,,Zug,Die Mitte,Offenlegung der budgetierten Einnahmen,200000.00,90000.00,0.00,0.00,0.00,110000.00
Nationalratswahlen 2023,08.09.2023,22.10.2023,Die Mitte Kanton Zug,Juristische Person oder Personengesellschaft,"Hegglin Peter (Zug, Die Mitte), Pfister Gerhard (Zug, Die Mitte), Käch Manuela (Zug, Die Mitte), Rust Peter (Zug, Die Mitte), Barmet Monika (Zug, Die Mitte), Abramovic Ivan (Zug, Die Mitte), Battiston Gabriele (Zug, Die Mitte), Meierhans Lena (Zug, Die Mitte), Röösli Flavia (Zug, Die Mitte), Iten Patrick (Zug, Die Mitte), Wiederkehr Roger (Zug, Die Mitte), Kremmel Corina (Zug, Die Mitte), Ebneter Matthias (Zug, Die Mitte)",Gruppe von Kandidierenden (namentliche Auflistung),Kremmel,Corina,,Zug,Die Mitte,Offenlegung der budgetierten Einnahmen,200000.00,90000.00,0.00,0.00,0.00,110000.00
Nationalratswahlen 2023,08.09.2023,22.10.2023,Die Mitte Kanton Zug,Juristische Person oder Personengesellschaft,"Hegglin Peter (Zug, Die Mitte), Pfister Gerhard (Zug, Die Mitte), Käch Manuela (Zug, Die Mitte), Rust Peter (Zug, Die Mitte), Barmet Monika (Zug, Die Mitte), Abramovic Ivan (Zug, Die Mitte), Battiston Gabriele (Zug, Die Mitte), Meierhans Lena (Zug, Die Mitte), Röösli Flavia (Zug, Die Mitte), Iten Patrick (Zug, Die Mitte), Wiederkehr Roger (Zug, Die Mitte), Kremmel Corina (Zug, Die Mitte), Ebneter Matthias (Zug, Die Mitte)",Gruppe von Kandidierenden (namentliche Auflistung),Ebneter,Matthias,,Zug,Die Mitte,Offenlegung der budgetierten Einnahmen,200000.00,90000.00,0.00,0.00,0.00,110000.00
Nationalratswahlen 2023,08.09.2023,22.10.2023,Paganini Nicolò,Natürliche Person,"Paganini Nicolò (St. Gallen, Die Mitte)",Einzelperson,Paganini,Nicolò,,St. Gallen,Die Mitte,Offenlegung der budgetierten Einnahmen,90000.00,64434.65,20565.35,0.00,0.00,5000.00
Nationalratswahlen 2023,08.09.2023,22.10.2023,Thurgauer Gewerbeverband,Juristische Person oder Personengesellschaft,"Häberli-Koller Brigitte (Thurgau, Die Mitte), Stark Jakob (Thurgau, Schweizerische Volkspartei), Brunner Hansjörg (Thurgau, FDP.Die Liberalen), Gutjahr Diana (Thurgau, Schweizerische Volkspartei), Hollenstein Roland (Thurgau, Die Mitte), Leu Thomas (Thurgau, FDP.Die Liberalen), Lohr Christian (Thurgau, Die Mitte), Macedo Gabriel (Thurgau, FDP.Die Liberalen), Mader Christian (Thurgau, Eidgenössisch-Demokratische Union), Madörin Lukas (Thurgau, Eidgenössisch-Demokratische Union), Schenk Peter (Thurgau, Eidgenössisch-Demokratische Union), Schmid Pascal (Thurgau, Schweizerische Volkspartei), Stähl Michèle (Thurgau, FDP.Die Liberalen), Strupler Manuel (Thurgau, Schweizerische Volkspartei), Vietze Kristiane (Thurgau, FDP.Die Liberalen)",Gruppe von Kandidierenden (namentliche Auflistung),Häberli-Koller,Brigitte,,Thurgau,Die Mitte,Offenlegung der budgetierten Einnahmen,70000.00,0.00,0.00,0.00,0.00,70000.00
Nationalratswahlen 2023,08.09.2023,22.10.2023,Thurgauer Gewerbeverband,Juristische Person oder Personengesellschaft,"Häberli-Koller Brigitte (Thurgau, Die Mitte), Stark Jakob (Thurgau, Schweizerische Volkspartei), Brunner Hansjörg (Thurgau, FDP.Die Liberalen), Gutjahr Diana (Thurgau, Schweizerische Volkspartei), Hollenstein Roland (Thurgau, Die Mitte), Leu Thomas (Thurgau, FDP.Die Liberalen), Lohr Christian (Thurgau, Die Mitte), Macedo Gabriel (Thurgau, FDP.Die Liberalen), Mader Christian (Thurgau, Eidgenössisch-Demokratische Union), Madörin Lukas (Thurgau, Eidgenössisch-Demokratische Union), Schenk Peter (Thurgau, Eidgenössisch-Demokratische Union), Schmid Pascal (Thurgau, Schweizerische Volkspartei), Stähl Michèle (Thurgau, FDP.Die Liberalen), Strupler Manuel (Thurgau, Schweizerische Volkspartei), Vietze Kristiane (Thurgau, FDP.Die Liberalen)",Gruppe von Kandidierenden (namentliche Auflistung),Stark,Jakob,,Thurgau,Schweizerische Volkspartei,Offenlegung der budgetierten Einnahmen,70000.00,0.00,0.00,0.00,0.00,70000.00
Nationalratswahlen 2023,08.09.2023,22.10.2023,Thurgauer Gewerbeverband,Juristische Person oder Personengesellschaft,"Häberli-Koller Brigitte (Thurgau, Die Mitte), Stark Jakob (Thurgau, Schweizerische Volkspartei), Brunner Hansjörg (Thurgau, FDP.Die Liberalen), Gutjahr Diana (Thurgau, Schweizerische Volkspartei), Hollenstein Roland (Thurgau, Die Mitte), Leu Thomas (Thurgau, FDP.Die Liberalen), Lohr Christian (Thurgau, Die Mitte), Macedo Gabriel (Thurgau, FDP.Die Liberalen), Mader Christian (Thurgau, Eidgenössisch-Demokratische Union), Madörin Lukas (Thurgau, Eidgenössisch-Demokratische Union), Schenk Peter (Thurgau, Eidgenössisch-Demokratische Union), Schmid Pascal (Thurgau, Schweizerische Volkspartei), Stähl Michèle (Thurgau, FDP.Die Liberalen), Strupler Manuel (Thurgau, Schweizerische Volkspartei), Vietze Kristiane (Thurgau, FDP.Die Liberalen)",Gruppe von Kandidierenden (namentliche Auflistung),Brunner,Hansjörg,,Thurgau,FDP.Die Liberalen,Offenlegung der budgetierten Einnahmen,70000.00,0.00,0.00,0.00,0.00,70000.00
Nationalratswahlen 2023,08.09.2023,22.10.2023,Thurgauer Gewerbeverband,Juristische Person oder Personengesellschaft,"Häberli-Koller Brigitte (Thurgau, Die Mitte), Stark Jakob (Thurgau, Schweizerische Volkspartei), Brunner Hansjörg (Thurgau, FDP.Die Liberalen), Gutjahr Diana (Thurgau, Schweizerische Volkspartei), Hollenstein Roland (Thurgau, Die Mitte), Leu Thomas (Thurgau, FDP.Die Liberalen), Lohr Christian (Thurgau, Die Mitte), Macedo Gabriel (Thurgau, FDP.Die Liberalen), Mader Christian (Thurgau, Eidgenössisch-Demokratische Union), Madörin Lukas (Thurgau, Eidgenössisch-Demokratische Union), Schenk Peter (Thurgau, Eidgenössisch-Demokratische Union), Schmid Pascal (Thurgau, Schweizerische Volkspartei), Stähl Michèle (Thurgau, FDP.Die Liberalen), Strupler Manuel (Thurgau, Schweizerische Volkspartei), Vietze Kristiane (Thurgau, FDP.Die Liberalen)",Gruppe von Kandidierenden (namentliche Auflistung),Gutjahr,Diana,,Thurgau,Schweizerische Volkspartei,Offenlegung der budgetierten Einnahmen,70000.00,0.00,0.00,0.00,0.00,70000.00
Nationalratswahlen 2023,08.09.2023,22.10.2023,Thurgauer Gewerbeverband,Juristische Person oder Personengesellschaft,"Häberli-Koller Brigitte (Thurgau, Die Mitte), Stark Jakob (Thurgau, Schweizerische Volkspartei), Brunner Hansjörg (Thurgau, FDP.Die Liberalen), Gutjahr Diana (Thurgau, Schweizerische Volkspartei), Hollenstein Roland (Thurgau, Die Mitte), Leu Thomas (Thurgau, FDP.Die Liberalen), Lohr Christian (Thurgau, Die Mitte), Macedo Gabriel (Thurgau, FDP.Die Liberalen), Mader Christian (Thurgau, Eidgenössisch-Demokratische Union), Madörin Lukas (Thurgau, Eidgenössisch-Demokratische Union), Schenk Peter (Thurgau, Eidgenössisch-Demokratische Union), Schmid Pascal (Thurgau, Schweizerische Volkspartei), Stähl Michèle (Thurgau, FDP.Die Liberalen), Strupler Manuel (Thurgau, Schweizerische Volkspartei), Vietze Kristiane (Thurgau, FDP.Die Liberalen)",Gruppe von Kandidierenden (namentliche Auflistung),Hollenstein,Roland,,Thurgau,Die Mitte,Offenlegung der budgetierten Einnahmen,70000.00,0.00,0.00,0.00,0.00,70000.00
Nationalratswahlen 2023,08.09.2023,22.10.2023,Thurgauer Gewerbeverband,Juristische Person oder Personengesellschaft,"Häberli-Koller Brigitte (Thurgau, Die Mitte), Stark Jakob (Thurgau, Schweizerische Volkspartei), Brunner Hansjörg (Thurgau, FDP.Die Liberalen), Gutjahr Diana (Thurgau, Schweizerische Volkspartei), Hollenstein Roland (Thurgau, Die Mitte), Leu Thomas (Thurgau, FDP.Die Liberalen), Lohr Christian (Thurgau, Die Mitte), Macedo Gabriel (Thurgau, FDP.Die Liberalen), Mader Christian (Thurgau, Eidgenössisch-Demokratische Union), Madörin Lukas (Thurgau, Eidgenössisch-Demokratische Union), Schenk Peter (Thurgau, Eidgenössisch-Demokratische Union), Schmid Pascal (Thurgau, Schweizerische Volkspartei), Stähl Michèle (Thurgau, FDP.Die Liberalen), Strupler Manuel (Thurgau, Schweizerische Volkspartei), Vietze Kristiane (Thurgau, FDP.Die Liberalen)",Gruppe von Kandidierenden (namentliche Auflistung),Leu,Thomas,,Thurgau,FDP.Die Liberalen,Offenlegung der budgetierten Einnahmen,70000.00,0.00,0.00,0.00,0.00,70000.00
